"","Fecha","sitio","Longitud","Latitud","PM10","Tabla$sitio"
"64",2023-01-03 15:00:00,"Belfast Centre",-5.928833,54.59965,7.95,"Belfast Centre"
"65",2023-01-03 16:00:00,"Belfast Centre",-5.928833,54.59965,6.225,"Belfast Centre"
"66",2023-01-03 17:00:00,"Belfast Centre",-5.928833,54.59965,5.2,"Belfast Centre"
"67",2023-01-03 18:00:00,"Belfast Centre",-5.928833,54.59965,6.55,"Belfast Centre"
"68",2023-01-03 19:00:00,"Belfast Centre",-5.928833,54.59965,5.25,"Belfast Centre"
"69",2023-01-03 20:00:00,"Belfast Centre",-5.928833,54.59965,4.2,"Belfast Centre"
"70",2023-01-03 21:00:00,"Belfast Centre",-5.928833,54.59965,2.75,"Belfast Centre"
"71",2023-01-03 22:00:00,"Belfast Centre",-5.928833,54.59965,2.25,"Belfast Centre"
"72",2023-01-03 23:00:00,"Belfast Centre",-5.928833,54.59965,4.775,"Belfast Centre"
"73",2023-01-04 00:00:00,"Belfast Centre",-5.928833,54.59965,6.075,"Belfast Centre"
"74",2023-01-04 01:00:00,"Belfast Centre",-5.928833,54.59965,4.625,"Belfast Centre"
"75",2023-01-04 02:00:00,"Belfast Centre",-5.928833,54.59965,6,"Belfast Centre"
"76",2023-01-04 03:00:00,"Belfast Centre",-5.928833,54.59965,10.45,"Belfast Centre"
"77",2023-01-04 04:00:00,"Belfast Centre",-5.928833,54.59965,11.25,"Belfast Centre"
"78",2023-01-04 05:00:00,"Belfast Centre",-5.928833,54.59965,9.325,"Belfast Centre"
"79",2023-01-04 06:00:00,"Belfast Centre",-5.928833,54.59965,10.125,"Belfast Centre"
"80",2023-01-04 07:00:00,"Belfast Centre",-5.928833,54.59965,12.425,"Belfast Centre"
"81",2023-01-04 08:00:00,"Belfast Centre",-5.928833,54.59965,13.3,"Belfast Centre"
"82",2023-01-04 09:00:00,"Belfast Centre",-5.928833,54.59965,10.325,"Belfast Centre"
"83",2023-01-04 10:00:00,"Belfast Centre",-5.928833,54.59965,13.35,"Belfast Centre"
"84",2023-01-04 11:00:00,"Belfast Centre",-5.928833,54.59965,10.475,"Belfast Centre"
"85",2023-01-04 12:00:00,"Belfast Centre",-5.928833,54.59965,8.45,"Belfast Centre"
"86",2023-01-04 13:00:00,"Belfast Centre",-5.928833,54.59965,8.5,"Belfast Centre"
"87",2023-01-04 14:00:00,"Belfast Centre",-5.928833,54.59965,7.775,"Belfast Centre"
"88",2023-01-04 15:00:00,"Belfast Centre",-5.928833,54.59965,6.725,"Belfast Centre"
"89",2023-01-04 16:00:00,"Belfast Centre",-5.928833,54.59965,6.625,"Belfast Centre"
"90",2023-01-04 17:00:00,"Belfast Centre",-5.928833,54.59965,5.75,"Belfast Centre"
"91",2023-01-04 18:00:00,"Belfast Centre",-5.928833,54.59965,6.775,"Belfast Centre"
"92",2023-01-04 19:00:00,"Belfast Centre",-5.928833,54.59965,7,"Belfast Centre"
"93",2023-01-04 20:00:00,"Belfast Centre",-5.928833,54.59965,5.525,"Belfast Centre"
"94",2023-01-04 21:00:00,"Belfast Centre",-5.928833,54.59965,4.375,"Belfast Centre"
"95",2023-01-04 22:00:00,"Belfast Centre",-5.928833,54.59965,4.525,"Belfast Centre"
"96",2023-01-04 23:00:00,"Belfast Centre",-5.928833,54.59965,10.175,"Belfast Centre"
"97",2023-01-05 00:00:00,"Belfast Centre",-5.928833,54.59965,9.05,"Belfast Centre"
"98",2023-01-05 01:00:00,"Belfast Centre",-5.928833,54.59965,9.15,"Belfast Centre"
"99",2023-01-05 02:00:00,"Belfast Centre",-5.928833,54.59965,9.125,"Belfast Centre"
"100",2023-01-05 03:00:00,"Belfast Centre",-5.928833,54.59965,10.825,"Belfast Centre"
"101",2023-01-05 04:00:00,"Belfast Centre",-5.928833,54.59965,10.875,"Belfast Centre"
"102",2023-01-05 05:00:00,"Belfast Centre",-5.928833,54.59965,11.475,"Belfast Centre"
"103",2023-01-05 06:00:00,"Belfast Centre",-5.928833,54.59965,10.7,"Belfast Centre"
"104",2023-01-05 07:00:00,"Belfast Centre",-5.928833,54.59965,8.225,"Belfast Centre"
"105",2023-01-05 08:00:00,"Belfast Centre",-5.928833,54.59965,42.975,"Belfast Centre"
